drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
fencamfamin,ropinirole,Fencamfamin may increase the sedative activities of Ropinirole.,1,63,161,517
tedizolid phosphate,dronedarone,no interaction known or reported,0,32,99,514
irinotecan,leflunomide,The risk or severity of adverse effects can be increased when Irinotecan is combined with Leflunomide.,1,102,102,404
frovatriptan,ergometrine,The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ergometrine.,1,104,131,172
cyclophosphamide,flutamide,Cyclophosphamide may increase the cardiotoxic activities of Flutamide.,1,70,369,54
ergometrine,buprenorphine,The risk or severity of adverse effects can be increased when Ergometrine is combined with Buprenorphine.,1,105,349,133
mitotane,eletriptan,The serum concentration of Eletriptan can be decreased when it is combined with Mitotane.,1,89,570,58
vardenafil,nitrendipine,Vardenafil may increase the antihypertensive activities of Nitrendipine.,1,72,204,246
sertindole,desipramine,The metabolism of Desipramine can be decreased when combined with Sertindole.,1,77,246,495
estrone,lidocaine,The metabolism of Lidocaine can be decreased when combined with Estrone.,1,72,239,279
ergometrine,caffeine,The risk or severity of adverse effects can be increased when Ergometrine is combined with Caffeine.,1,100,349,227
terazosin,isoprenaline,Terazosin may decrease the vasoconstricting activities of Isoprenaline.,1,71,116,105
crisaborole,oxcarbazepine,no interaction known or reported,0,32,30,53
travoprost,alprenolol,Travoprost may increase the hypotensive activities of Alprenolol.,1,65,116,195
dextropropoxyphene,benzocaine,The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Benzocaine.,1,109,302,175
tetryzoline,tedizolid phosphate,Tetryzoline may increase the hypertensive activities of Tedizolid phosphate.,1,76,54,115
pimecrolimus,ifosfamide,The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Ifosfamide.,1,103,338,123
olopatadine,ranolazine,The metabolism of Ranolazine can be decreased when combined with Olopatadine.,1,77,317,488
digoxin,idelalisib,The metabolism of Idelalisib can be decreased when combined with Digoxin.,1,73,287,556
vildagliptin,delavirdine,The serum concentration of Delavirdine can be decreased when it is combined with Vildagliptin.,1,94,54,652
linagliptin,lipoic acid,Linagliptin may increase the hypoglycemic activities of Lipoic acid.,1,68,61,56
dopamine,metoprolol,The metabolism of Metoprolol can be decreased when combined with Dopamine.,1,74,177,281
methscopolamine bromide,bevantolol,no interaction known or reported,0,32,67,129
sacubitril,diflunisal,The risk or severity of adverse effects can be increased when Sacubitril is combined with Diflunisal.,1,101,199,231
rifaximin,etonogestrel,The serum concentration of Etonogestrel can be decreased when it is combined with Rifaximin.,1,92,375,90
penbutolol,ceritinib,Penbutolol may increase the bradycardic activities of Ceritinib.,1,64,200,613
azelastine,alfentanil,Azelastine may increase the central nervous system depressant (CNS depressant) activities of Alfentanil.,1,104,580,177
meprobamate,prochlorperazine,The risk or severity of adverse effects can be increased when Meprobamate is combined with Prochlorperazine.,1,108,303,106
isocarboxazid,bambuterol,The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Bambuterol.,1,104,293,66
rifapentine,felbamate,The metabolism of Felbamate can be increased when combined with Rifapentine.,1,76,725,307
telithromycin,azlocillin,no interaction known or reported,0,32,119,43
primidone,malathion,The metabolism of Malathion can be increased when combined with Primidone.,1,74,785,95
flunarizine,zucapsaicin,The metabolism of Zucapsaicin can be decreased when combined with Flunarizine.,1,78,182,296
streptozocin,suprofen,Streptozocin may decrease the excretion rate of Suprofen which could result in a higher serum level.,1,100,129,184
clopidogrel,carisoprodol,no interaction known or reported,0,32,133,216
diphenhydramine,vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Diphenhydramine.,1,97,269,356
solifenacin,butenafine,The metabolism of Butenafine can be decreased when combined with Solifenacin.,1,77,170,48
kanamycin,masoprocol,Kanamycin may decrease the excretion rate of Masoprocol which could result in a higher serum level.,1,99,112,152
hydroxyamphetamine,asenapine,Hydroxyamphetamine may decrease the stimulatory activities of Asenapine.,1,72,186,190
magnesium trisilicate,pamidronic acid,The serum concentration of Pamidronic acid can be decreased when it is combined with Magnesium trisilicate.,1,107,128,139
calcium phosphate,eltrombopag,The serum concentration of Eltrombopag can be decreased when it is combined with Calcium Phosphate.,1,99,105,150
dutasteride,progabide,no interaction known or reported,0,32,96,28
trandolapril,propacetamol,The risk or severity of adverse effects can be increased when Trandolapril is combined with Propacetamol.,1,105,240,226
dexmedetomidine,tiapride,The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tiapride.,1,104,281,247
amoxapine,rivaroxaban,The serum concentration of Rivaroxaban can be increased when it is combined with Amoxapine.,1,91,255,107
parecoxib,pregabalin,no interaction known or reported,0,32,242,159
citalopram,pimozide,no interaction known or reported,0,32,280,189
tolvaptan,elbasvir,The serum concentration of Elbasvir can be increased when it is combined with Tolvaptan.,1,88,274,57
prazosin,bosentan,Prazosin may increase the hypotensive activities of Bosentan.,1,61,189,75
fluvoxamine,aminohippuric acid,no interaction known or reported,0,32,202,44
methoxyflurane,ethosuximide,The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Ethosuximide.,1,107,312,250
etoricoxib,vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Etoricoxib.,1,92,300,356
salmeterol,pipotiazine,no interaction known or reported,0,32,124,294
pravastatin,desipramine,The serum concentration of Desipramine can be increased when it is combined with Pravastatin.,1,93,284,495
armodafinil,fenoldopam,no interaction known or reported,0,32,46,149
morphine,minocycline,Morphine may increase the central nervous system depressant (CNS depressant) activities of Minocycline.,1,103,492,315
metoprolol,cholecalciferol,The serum concentration of Cholecalciferol can be increased when it is combined with Metoprolol.,1,96,465,384
ramipril,benazepril,The risk or severity of adverse effects can be increased when Ramipril is combined with Benazepril.,1,99,262,202
terconazole,flunarizine,The risk or severity of adverse effects can be increased when Terconazole is combined with Flunarizine.,1,103,77,335
celiprolol,propacetamol,Celiprolol may decrease the antihypertensive activities of Propacetamol.,1,72,259,226
sulbactam,gentamicin,The serum concentration of Gentamicin can be decreased when it is combined with Sulbactam.,1,90,54,81
paraldehyde,flutamide,no interaction known or reported,0,32,296,54
ketoprofen,tafluprost,The therapeutic efficacy of Tafluprost can be decreased when used in combination with Ketoprofen.,1,97,214,104
etodolac,meclofenamic acid,The risk or severity of adverse effects can be increased when Etodolac is combined with Meclofenamic acid.,1,106,235,169
furazolidone,cyclobenzaprine,Furazolidone may increase the serotonergic activities of Cyclobenzaprine.,1,73,209,183
montelukast,bortezomib,The metabolism of Bortezomib can be decreased when combined with Montelukast.,1,77,131,595
primidone,albendazole,The metabolism of Albendazole can be increased when combined with Primidone.,1,76,785,62
tamsulosin,duloxetine,Tamsulosin may increase the orthostatic hypotensive activities of Duloxetine.,1,77,269,519
sulfamethazine,torasemide,no interaction known or reported,0,32,26,324
lovastatin,osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Lovastatin.,1,92,170,524
trimethaphan,nitrendipine,Trimethaphan may increase the hypotensive activities of Nitrendipine.,1,69,175,246
raloxifene,fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Raloxifene.,1,94,98,547
rasagiline,cilazapril,Rasagiline may increase the hypotensive activities of Cilazapril.,1,65,306,273
minaprine,felodipine,Minaprine may increase the hypotensive activities of Felodipine.,1,64,301,377
chloroquine,perflutren,Chloroquine may increase the QTc-prolonging activities of Perflutren.,1,69,374,85
enoxacin,calcium acetate,Enoxacin can cause a decrease in the absorption of Calcium acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.,1,149,57,56
cyclobenzaprine,levacetylmethadol,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Levacetylmethadol.,1,113,393,236
phenylpropanolamine,hydroxyamphetamine,no interaction known or reported,0,32,80,97
citalopram,darunavir,The serum concentration of Darunavir can be increased when it is combined with Citalopram.,1,90,280,591
selegiline,netupitant,The serum concentration of Netupitant can be increased when it is combined with Selegiline.,1,91,423,537
esmolol,leflunomide,no interaction known or reported,0,32,260,404
rivaroxaban,diflunisal,Rivaroxaban may increase the anticoagulant activities of Diflunisal.,1,68,239,231
clozapine,butamben,The risk or severity of adverse effects can be increased when Clozapine is combined with Butamben.,1,98,468,191
seratrodast,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Seratrodast.,1,82,269,384
telavancin,acipimox,no interaction known or reported,0,32,138,51
nabumetone,deflazacort,The risk or severity of adverse effects can be increased when Nabumetone is combined with Deflazacort.,1,102,230,144
moexipril,valproic acid,The serum concentration of Valproic acid can be decreased when it is combined with Moexipril.,1,93,216,322
bromocriptine,trandolapril,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Trandolapril.,1,106,474,194
galantamine,cimetidine,The metabolism of Cimetidine can be decreased when combined with Galantamine.,1,77,212,413
lorazepam,ropinirole,Lorazepam may increase the sedative activities of Ropinirole.,1,61,291,517
lithium cation,pipamperone,Lithium cation may increase the neurotoxic activities of Pipamperone.,1,69,307,269
sodium citrate,calcium glubionate anhydrous,no interaction known or reported,0,32,27,53
dopamine,luliconazole,The serum concentration of Luliconazole can be increased when it is combined with Dopamine.,1,91,177,566
rifapentine,cabozantinib,The serum concentration of Cabozantinib can be decreased when it is combined with Rifapentine.,1,94,725,61
meperidine,hydroxyamphetamine,Meperidine may increase the analgesic activities of Hydroxyamphetamine.,1,71,413,97
balsalazide,pefloxacin,Balsalazide may increase the neuroexcitatory activities of Pefloxacin.,1,70,219,205
oxacillin,iopromide,no interaction known or reported,0,32,57,27
gabapentin,paroxetine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Paroxetine.,1,101,252,517
azilsartan medoxomil,etofenamate,The risk or severity of adverse effects can be increased when Azilsartan medoxomil is combined with Etofenamate.,1,112,126,197
trovafloxacin,nadolol,no interaction known or reported,0,32,52,282
mycophenolate mofetil,acemetacin,The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Acemetacin.,1,112,280,201
benazepril,clobetasol propionate,no interaction known or reported,0,32,227,129
carbetocin,hydroflumethiazide,The risk or severity of adverse effects can be increased when Carbetocin is combined with Hydroflumethiazide.,1,109,169,338
calcium phosphate,pregabalin,The therapeutic efficacy of Pregabalin can be decreased when used in combination with Calcium Phosphate.,1,104,105,159
voriconazole,ibudilast,no interaction known or reported,0,32,116,79
pregabalin,flurazepam,The therapeutic efficacy of Flurazepam can be increased when used in combination with Pregabalin.,1,97,325,104
oxymetazoline,cyclobenzaprine,Oxymetazoline may decrease the antihypertensive activities of Cyclobenzaprine.,1,78,91,183
mesalazine,oxyphenbutazone,Mesalazine may increase the nephrotoxic activities of Oxyphenbutazone.,1,70,213,183
treprostinil,pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Treprostinil.,1,81,231,242
fenbufen,deferasirox,The risk or severity of adverse effects can be increased when Fenbufen is combined with Deferasirox.,1,100,147,201
tamoxifen,fluconazole,no interaction known or reported,0,32,150,648
rimonabant,glimepiride,no interaction known or reported,0,32,97,149
alprenolol,suprofen,Alprenolol may decrease the antihypertensive activities of Suprofen.,1,68,266,184
sevoflurane,enflurane,The risk or severity of adverse effects can be increased when Sevoflurane is combined with Enflurane.,1,101,378,138
conivaptan,apraclonidine,The risk or severity of adverse effects can be increased when Conivaptan is combined with Apraclonidine.,1,104,586,181
thiothixene,carbinoxamine,The risk or severity of adverse effects can be increased when Thiothixene is combined with Carbinoxamine.,1,105,218,244
colchicine,palmitic acid,The serum concentration of Palmitic Acid can be increased when it is combined with Colchicine.,1,94,267,48
butoconazole,lacidipine,The risk or severity of adverse effects can be increased when Butoconazole is combined with Lacidipine.,1,103,86,245
raloxifene,nefazodone,The metabolism of Nefazodone can be decreased when combined with Raloxifene.,1,76,98,695
cinchocaine,butalbital,The risk or severity of adverse effects can be increased when Cinchocaine is combined with Butalbital.,1,102,209,204
articaine,ropinirole,Articaine may increase the sedative activities of Ropinirole.,1,61,179,517
pentazocine,zuclopenthixol,The risk or severity of adverse effects can be increased when Pentazocine is combined with Zuclopenthixol.,1,106,305,157
nizatidine,dabrafenib,The serum concentration of Dabrafenib can be decreased when it is combined with Nizatidine.,1,91,51,85
saxagliptin,moexipril,The risk or severity of adverse effects can be increased when Saxagliptin is combined with Moexipril.,1,101,160,285
saquinavir,baricitinib,no interaction known or reported,0,32,188,43
chloroprocaine,tolcapone,The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Tolcapone.,1,104,174,247
colchicine,erythromycin,The serum concentration of Erythromycin can be increased when it is combined with Colchicine.,1,93,267,532
tetrabenazine,acetophenazine,The risk or severity of adverse effects can be increased when Tetrabenazine is combined with Acetophenazine.,1,108,249,106
nateglinide,mesalazine,Nateglinide may increase the hypoglycemic activities of Mesalazine.,1,67,227,230
limaprost,ranolazine,no interaction known or reported,0,32,64,488
hydroxyprogesterone caproate,cyclosporine,The metabolism of Cyclosporine can be decreased when combined with Hydroxyprogesterone caproate.,1,96,131,524
vandetanib,osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Vandetanib.,1,92,191,524
mianserin,methadone,The metabolism of Methadone can be decreased when combined with Mianserin.,1,74,218,310
thioridazine,propoxycaine,The risk or severity of adverse effects can be increased when Thioridazine is combined with Propoxycaine.,1,105,558,200
ambroxol,icotinib,no interaction known or reported,0,32,86,64
enflurane,fencamfamin,The risk or severity of adverse effects can be increased when Enflurane is combined with Fencamfamin.,1,101,211,215
ximelagatran,tenoxicam,Ximelagatran may increase the anticoagulant activities of Tenoxicam.,1,68,217,159
levocetirizine,voriconazole,The metabolism of Voriconazole can be decreased when combined with Levocetirizine.,1,82,113,656
lucanthone,ascorbic acid,no interaction known or reported,0,32,24,29
indinavir,voglibose,The therapeutic efficacy of Voglibose can be decreased when used in combination with Indinavir.,1,95,95,122
clonidine,sulfaphenazole,no interaction known or reported,0,32,338,42
fluticasone propionate,doxylamine,Fluticasone propionate may increase the central nervous system depressant (CNS depressant) activities of Doxylamine.,1,116,237,286
axitinib,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Axitinib.,1,75,132,617
sertaconazole,tasosartan,no interaction known or reported,0,32,86,56
zuclopenthixol,methylphenidate,The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Methylphenidate.,1,110,365,245
melatonin,sulfisoxazole,The metabolism of Sulfisoxazole can be decreased when combined with Melatonin.,1,78,244,567
cangrelor,desmopressin,no interaction known or reported,0,32,73,161
thalidomide,norgestimate,Thalidomide may increase the thrombogenic activities of Norgestimate.,1,69,473,93
mebendazole,dronedarone,The metabolism of Dronedarone can be decreased when combined with Mebendazole.,1,78,99,514
amikacin,deslanoside,The serum concentration of Deslanoside can be decreased when it is combined with Amikacin.,1,90,119,307
sulindac,bimatoprost,The therapeutic efficacy of Bimatoprost can be decreased when used in combination with Sulindac.,1,96,195,205
methylphenobarbital,vortioxetine,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Vortioxetine.,1,112,406,189
pentobarbital,bepridil,The metabolism of Bepridil can be increased when combined with Pentobarbital.,1,77,841,214
lovastatin,captopril,The serum concentration of Captopril can be increased when it is combined with Lovastatin.,1,90,170,270
dexketoprofen,flurbiprofen,The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Flurbiprofen.,1,106,148,148
pioglitazone,ciclesonide,no interaction known or reported,0,32,191,137
atracurium besylate,minocycline,Atracurium besylate may increase the neuromuscular blocking activities of Minocycline.,1,86,170,315
tinidazole,fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Tinidazole.,1,79,88,527
colchicine,simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Colchicine.,1,91,267,600
losartan,yohimbine,Losartan may decrease the antihypertensive activities of Yohimbine.,1,67,288,168
hydroflumethiazide,tolazoline,Hydroflumethiazide may increase the hypotensive activities of Tolazoline.,1,73,229,158
antipyrine,ranolazine,The metabolism of Ranolazine can be decreased when combined with Antipyrine.,1,76,318,488
reserpine,felbamate,The risk or severity of adverse effects can be increased when Reserpine is combined with Felbamate.,1,99,425,307
bromocriptine,thalidomide,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Thalidomide.,1,105,474,94
ethosuximide,ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Ethosuximide.,1,92,154,613
bendroflumethiazide,eplerenone,The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Eplerenone.,1,110,246,192
sulindac,seratrodast,The risk or severity of adverse effects can be increased when Sulindac is combined with Seratrodast.,1,100,195,219
trimipramine,desmopressin,The risk or severity of adverse effects can be increased when Trimipramine is combined with Desmopressin.,1,105,286,161
mepivacaine,vigabatrin,The risk or severity of adverse effects can be increased when Mepivacaine is combined with Vigabatrin.,1,102,211,246
paclitaxel,clofarabine,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Clofarabine.,1,102,434,61
reserpine,felbamate,no interaction known or reported,0,32,425,307
estrone,gemifloxacin,The risk or severity of adverse effects can be increased when Estrone is combined with Gemifloxacin.,1,100,239,236
piroxicam,iloprost,The therapeutic efficacy of Iloprost can be decreased when used in combination with Piroxicam.,1,94,253,172
roxithromycin,sotalol,no interaction known or reported,0,32,87,217
epinastine,telaprevir,The metabolism of Telaprevir can be decreased when combined with Epinastine.,1,76,174,546
chlormezanone,flunitrazepam,The risk or severity of adverse effects can be increased when Chlormezanone is combined with Flunitrazepam.,1,107,183,178
diazepam,butalbital,The risk or severity of adverse effects can be increased when Diazepam is combined with Butalbital.,1,99,355,204
calcium citrate,dobutamine,The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium citrate.,1,102,104,118
hexobarbital,azilsartan medoxomil,Hexobarbital may increase the hypotensive activities of Azilsartan medoxomil.,1,77,441,181
pentobarbital,sertraline,The metabolism of Sertraline can be increased when combined with Pentobarbital.,1,79,841,536
tiagabine,cobicistat,The metabolism of Cobicistat can be decreased when combined with Tiagabine.,1,75,154,635
rolitetracycline,etofenamate,no interaction known or reported,0,32,35,197
mexiletine,terlipressin,no interaction known or reported,0,32,129,134
citric acid,treprostinil,Citric acid may increase the anticoagulant activities of Treprostinil.,1,70,164,198
dextroamphetamine,toloxatone,Dextroamphetamine may increase the hypertensive activities of Toloxatone.,1,73,227,162
pipotiazine,modafinil,The metabolism of Modafinil can be decreased when combined with Pipotiazine.,1,76,208,197
moxonidine,spirapril,Moxonidine may increase the hypotensive activities of Spirapril.,1,64,195,201
tubocurarine,bupranolol,Tubocurarine may increase the bradycardic activities of Bupranolol.,1,67,148,241
epinastine,terbinafine,The metabolism of Terbinafine can be decreased when combined with Epinastine.,1,77,174,260
buprenorphine,olanzapine,Buprenorphine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.,1,107,466,218
sufentanil,ethchlorvynol,The risk or severity of adverse effects can be increased when Sufentanil is combined with Ethchlorvynol.,1,104,412,125
eletriptan,cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Eletriptan.,1,76,273,263
mitoxantrone,dipyridamole,no interaction known or reported,0,32,60,205
vincristine,cabazitaxel,The serum concentration of Cabazitaxel can be increased when it is combined with Vincristine.,1,93,243,64
ethylmorphine,potassium cation,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Potassium cation.,1,110,312,52
cinchocaine,ubidecarenone,no interaction known or reported,0,32,209,93
vemurafenib,tamsulosin,The serum concentration of Tamsulosin can be decreased when it is combined with Vemurafenib.,1,92,481,123
foscarnet,etacrynic acid,The serum concentration of Etacrynic acid can be increased when it is combined with Foscarnet.,1,94,30,349
flumazenil,magnesium salicylate,no interaction known or reported,0,32,39,237
rasagiline,chlorothiazide,Rasagiline may increase the hypotensive activities of Chlorothiazide.,1,69,306,376
isometheptene,etodolac,no interaction known or reported,0,32,26,187
fleroxacin,tesamorelin,no interaction known or reported,0,32,66,26
diltiazem,guanfacine,The risk or severity of adverse effects can be increased when Diltiazem is combined with Guanfacine.,1,100,266,355
sotalol,lanreotide,Sotalol may increase the bradycardic activities of Lanreotide.,1,62,320,63
chloral hydrate,gabapentin enacarbil,The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Gabapentin enacarbil.,1,116,161,267
oxybutynin,pargyline,no interaction known or reported,0,32,139,180
formestane,estriol,The serum concentration of Estriol can be increased when it is combined with Formestane.,1,88,127,93
tolcapone,metaxalone,The risk or severity of adverse effects can be increased when Tolcapone is combined with Metaxalone.,1,100,211,230
moclobemide,cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Moclobemide.,1,77,326,263
ixazomib,tranylcypromine,no interaction known or reported,0,32,189,429
pindolol,loxoprofen,Pindolol may decrease the antihypertensive activities of Loxoprofen.,1,68,255,215
oxybutynin,diphenoxylate,The risk or severity of adverse effects can be increased when Oxybutynin is combined with Diphenoxylate.,1,104,139,166
temsirolimus,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Temsirolimus.,1,94,117,533
bosentan,bezafibrate,The serum concentration of Bezafibrate can be decreased when it is combined with Bosentan.,1,90,644,76
methylergometrine,bopindolol,Methylergometrine may increase the vasoconstricting activities of Bopindolol.,1,77,307,138
sulfamethoxazole,fluvoxamine,no interaction known or reported,0,32,183,727
remikiren,tibolone,Remikiren may increase the hypotensive activities of Tibolone.,1,62,135,225
benzphetamine,procarbazine,The risk or severity of adverse effects can be increased when Benzphetamine is combined with Procarbazine.,1,106,295,167
sulpiride,atropine,Sulpiride may increase the anticholinergic activities of Atropine.,1,66,270,61
toloxatone,procaterol,The risk or severity of adverse effects can be increased when Toloxatone is combined with Procaterol.,1,101,192,101
pinaverium,ajmaline,no interaction known or reported,0,32,53,27
promazine,fospropofol,The risk or severity of adverse effects can be increased when Promazine is combined with Fospropofol.,1,101,407,185
butamben,vigabatrin,The risk or severity of adverse effects can be increased when Butamben is combined with Vigabatrin.,1,99,131,246
pitavastatin,rolapitant,The serum concentration of Rolapitant can be increased when it is combined with Pitavastatin.,1,93,298,325
thiopental,lacidipine,The metabolism of Lacidipine can be increased when combined with Thiopental.,1,76,381,245
dyclonine,halothane,The risk or severity of adverse effects can be increased when Dyclonine is combined with Halothane.,1,99,196,185
nicorandil,nimodipine,Nicorandil may increase the hypotensive activities of Nimodipine.,1,65,192,192
mequitazine,amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Mequitazine.,1,92,170,646
ioflupane i-123,lisdexamfetamine,Ioflupane I-123 may decrease effectiveness of Lisdexamfetamine as a diagnostic agent.,1,85,68,57
trazodone,sodium oxybate,Trazodone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.,1,107,311,292
demecarium,butylscopolamine,The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Demecarium.,1,103,115,93
doxepin,irbesartan,The metabolism of Irbesartan can be decreased when combined with Doxepin.,1,73,270,392
nicergoline,cisapride,The risk or severity of adverse effects can be increased when Nicergoline is combined with Cisapride.,1,101,303,82
chlorprothixene,ticagrelor,no interaction known or reported,0,32,161,273
argatroban,resveratrol,Argatroban may increase the anticoagulant activities of Resveratrol.,1,68,214,230
paclitaxel,citric acid,no interaction known or reported,0,32,434,51
difluprednate,minaprine,The risk or severity of adverse effects can be increased when Difluprednate is combined with Minaprine.,1,103,128,198
fluoxetine,procarbazine,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Procarbazine.,1,103,285,167
biperiden,anisotropine methylbromide,The risk or severity of adverse effects can be increased when Biperiden is combined with Anisotropine methylbromide.,1,116,96,84
alfuzosin,minoxidil,Alfuzosin may increase the hypotensive activities of Minoxidil.,1,63,278,131
ibutilide,paroxetine,Ibutilide may increase the QTc-prolonging activities of Paroxetine.,1,67,193,517
moexipril,epirizole,The risk or severity of adverse effects can be increased when Moexipril is combined with Epirizole.,1,99,216,206
temozolomide,seratrodast,no interaction known or reported,0,32,34,219
triflupromazine,escitalopram,The risk or severity of adverse effects can be increased when Triflupromazine is combined with Escitalopram.,1,108,249,302
clopidogrel,sulfadiazine,The metabolism of Sulfadiazine can be decreased when combined with Clopidogrel.,1,79,133,225
ibutilide,galantamine,Ibutilide may increase the QTc-prolonging activities of Galantamine.,1,68,193,168
goserelin,eribulin,no interaction known or reported,0,32,151,101
fosphenytoin,loxapine,no interaction known or reported,0,32,744,108
doxepin,bosutinib,The serum concentration of Bosutinib can be decreased when it is combined with Doxepin.,1,87,270,86
ambenonium,butylscopolamine,The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Ambenonium.,1,103,111,93
eletriptan,sertindole,The risk or severity of adverse effects can be increased when Eletriptan is combined with Sertindole.,1,101,273,228
citalopram,ofloxacin,Citalopram may increase the QTc-prolonging activities of Ofloxacin.,1,67,280,91
primaquine,nelfinavir,The metabolism of Nelfinavir can be decreased when combined with Primaquine.,1,76,203,617
chlorprothixene,zotepine,The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Zotepine.,1,104,161,236
chlorothiazide,sitagliptin,The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Chlorothiazide.,1,102,193,172
sunitinib,mesalazine,Sunitinib may increase the hypoglycemic activities of Mesalazine.,1,65,202,230
aripiprazole,gliquidone,The therapeutic efficacy of Gliquidone can be decreased when used in combination with Aripiprazole.,1,99,431,137
tolnaftate,glutamic acid,no interaction known or reported,0,32,60,33
hexobarbital,imatinib,The metabolism of Imatinib can be decreased when combined with Hexobarbital.,1,76,441,478
phenylbutazone,misoprostol,The therapeutic efficacy of Misoprostol can be decreased when used in combination with Phenylbutazone.,1,102,225,116
selegiline,duloxetine,Selegiline may increase the orthostatic hypotensive activities of Duloxetine.,1,77,423,519
hydromorphone,trichloroethylene,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Trichloroethylene.,1,111,423,203
chlorpropamide,voriconazole,The serum concentration of Voriconazole can be increased when it is combined with Chlorpropamide.,1,97,210,656
dyclonine,fosphenytoin,The risk or severity of adverse effects can be increased when Dyclonine is combined with Fosphenytoin.,1,102,196,168
efavirenz,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Efavirenz.,1,76,235,617
demecarium,oxyphenonium,The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Demecarium.,1,99,115,81
penbutolol,selexipag,Penbutolol may increase the hypotensive activities of Selexipag.,1,64,200,196
guanabenz,nilvadipine,Guanabenz may increase the hypotensive activities of Nilvadipine.,1,65,139,261
cisapride,aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Cisapride.,1,90,307,546
carbamazepine,paroxetine,The metabolism of Paroxetine can be decreased when combined with Carbamazepine.,1,79,825,517
bedaquiline,dydrogesterone,no interaction known or reported,0,32,198,34
argatroban,itraconazole,The metabolism of Itraconazole can be decreased when combined with Argatroban.,1,78,214,600
fluvastatin,quinupristin,The serum concentration of Quinupristin can be increased when it is combined with Fluvastatin.,1,94,283,53
etizolam,verapamil,The metabolism of Verapamil can be decreased when combined with Etizolam.,1,73,211,604
ranitidine,rolapitant,The metabolism of Rolapitant can be decreased when combined with Ranitidine.,1,76,141,325
mycophenolate mofetil,prednicarbate,The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Prednicarbate.,1,115,280,145
valrubicin,indomethacin,Valrubicin may decrease the excretion rate of Indomethacin which could result in a higher serum level.,1,102,131,178
ropivacaine,fluspirilene,The risk or severity of adverse effects can be increased when Ropivacaine is combined with Fluspirilene.,1,104,398,232
dextropropoxyphene,lormetazepam,The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Lormetazepam.,1,111,302,202
codeine,felbamate,The risk or severity of adverse effects can be increased when Codeine is combined with Felbamate.,1,97,357,307
ibrutinib,iloprost,The risk or severity of adverse effects can be increased when Ibrutinib is combined with Iloprost.,1,98,354,172
lormetazepam,hydroxyzine,Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Hydroxyzine.,1,107,123,342
cobicistat,rivastigmine,no interaction known or reported,0,32,57,144
adapalene,medrysone,The risk or severity of adverse effects can be increased when Adapalene is combined with Medrysone.,1,99,218,144
trimetrexate,ouabain,Trimetrexate may decrease the cardiotoxic activities of Ouabain.,1,64,65,319
